,id
2363,34868
2367,33115
2372,5958
2385,26603
2386,18327
2391,20401
2392,18667
2393,20235
2394,31428
2395,12122
2396,11574
2397,3330
2399,29341
2414,3811
2415,3604
2417,3912
2418,8681
2422,26354
2424,21959
2426,20657
2429,20216
2436,24907
2462,30329
2496,19419
2500,22305
2501,17501
2502,17482
2509,6422
2519,33307
2552,6015
2568,3905
2584,4081
2585,33823
2593,3713
2594,24636
2597,17402
2619,24877
2630,22845
2645,30340
2662,30326
2667,20439
2668,20103
2670,16586
2677,27453
2688,29204
2689,24885
2690,26199
2701,27764
2707,16761
2708,6380
2714,20542
2726,31982
2736,31578
2741,36096
2742,36453
2752,30850
2754,36166
2758,32474
2793,16985
2918,30873
2923,31734
2926,29117
2929,27333
2932,27259
2988,27217
2989,12643
3028,17383
3068,7284
3073,20747
3088,12114
3089,13683
3097,18311
3101,30603
3157,26605
3160,12530
3162,34831
3163,17117
3165,16215
3166,3717
3167,3918
3168,29513
3170,5600
3171,8060
3173,4316
3176,30138
3185,23522
3194,21076
3196,5733
3209,5805
3215,24668
3216,23741
3217,31380
3224,30117
3227,3329
3230,32041
3231,34063
3249,3938
3258,17955
3289,28332
3290,30118
3335,3352
3364,3935
3372,20869
3408,33741
3409,30115
3427,6430
3433,176
3449,311
3512,33338
3516,6378
3522,8397
3523,3913
3539,3937
3541,23619
3551,3720
3561,35212
3564,32440
3605,29349
3607,32771
3633,3917
3642,4317
3707,13671
3785,35317
3828,1695
3832,11724
3834,22838
3835,4586
3837,81
3838,31396
3840,11706
3841,26160
3848,11185
3849,19089
3850,18981
3854,18839
3855,23132
3856,20054
3857,12271
3862,4693
3863,23285
3864,27481
3865,3133
3866,7881
3867,19574
3868,27263
3869,3723
3870,16021
3871,35344
3872,3381
3874,31385
3875,34664
3876,19313
3878,36418
3881,16499
3883,121
3887,21230
3891,16549
3898,34257
3899,18129
3903,32039
3905,12394
3918,20880
3924,34448
3925,8753
3926,26561
3927,13833
3928,4768
3931,15264
3938,31542
3939,22
3940,8676
3941,22849
3944,27626
3945,27546
3946,24039
3947,15596
3949,23688
3950,11740
3952,4475
3953,7307
3954,30128
3956,18978
3957,12987
3958,4899
3960,26389
3968,34194
3982,12902
3985,29678
3987,19180
3988,15879
3989,30303
3990,30734
3991,20703
3993,22328
3994,16673
3995,28914
3997,4585
3998,31063
3999,15655
4003,28524
4010,35321
4011,30182
4015,17238
4020,22000
4025,28273
4026,18363
4027,8505
4028,31371
4032,17904
4033,26592
4035,29437
4056,28
4062,15427
4084,18290
4086,17355
4087,4690
4091,19493
4092,11693
4093,16219
4094,12961
4095,3997
4098,18250
4099,21306
4100,4688
4109,35029
4110,4389
4112,4216
4114,18194
4116,12709
4119,34729
4122,17811
4124,34907
4125,17553
4135,11528
4136,7932
4137,17655
4149,4979
4151,27527
4152,24931
4155,30893
4156,22180
4157,26805
4159,28107
4174,6441
4175,16107
4176,31844
4177,20243
4188,28523
4192,20260
4209,7378
4229,20080
4231,30372
4232,17394
4238,4692
4240,19113
4243,28162
4247,35208
4249,35177
4252,31735
4254,33217
4255,6503
4259,35288
4260,29214
4261,35358
4262,31295
4263,396
4265,15134
4266,36007
4267,17920
4268,34866
4285,29834
4296,31378
4298,30453
4302,12908
4303,29063
4305,30491
4309,32463
4312,29161
4313,30968
4314,34104
4315,31399
4316,34023
4319,34909
4323,29324
4324,30767
4328,34164
4335,33550
4375,20379
4414,25147
4448,15316
4455,35518
4483,36103
4544,15322
4562,12708
4565,6629
4566,17280
4567,29857
4568,11897
4569,17825
4571,4131
4572,14448
4574,4898
4575,22388
4583,15326
4584,6724
4587,20696
4588,4110
4590,21927
4595,18835
4604,4720
4613,29046
4621,17986
4625,27202
4635,6048
4636,23784
4637,275
4638,22514
4640,27662
4651,17356
4654,19465
4682,30692
4697,34825
4704,34781
4716,13365
4727,15667
4728,17031
4729,7124
4730,2630
4733,28013
4735,15050
4736,26116
4737,7121
4738,15989
4740,16860
4742,7120
4763,12962
4765,5894
4769,34921
4779,36080
4783,36313
4785,31877
4786,30495
4787,32525
4791,26960
4798,7123
4799,32679
4803,34189
4804,29930
4805,34876
4818,30016
4821,7597
4831,11154
4832,22921
4833,4722
4875,12373
4878,6638
4882,17270
4884,31262
4885,29716
4938,31855
4999,26361
5056,15286
5108,7125
5111,28112
5113,33649
5157,32395
5177,18066
5179,4740
5180,24193
5181,5265
5185,18193
5188,3400
5195,7742
5198,4902
5199,36212
5202,12449
5203,12274
5206,17119
5207,12728
5208,17959
5210,12165
5212,11948
5216,7119
5217,12621
5225,7260
5227,18340
5228,18779
5239,11759
5240,30457
5241,20104
5244,29535
5247,4729
5248,21080
5249,17028
5250,4241
5251,12640
5253,7279
5255,19429
5273,30467
5277,35346
5279,7283
5311,6011
5321,4721
5330,21754
5356,11284
5359,15501
5360,31433
5382,36316
5394,17143
5423,8007
5433,12623
5444,31237
5446,33843
5449,26544
5450,34830
5451,35278
5452,27757
5453,32483
5520,30296
5536,32225
5537,36105
5588,4157
5602,33551
5669,32704
5674,31552
5743,32201
5744,30123
5912,20259
5913,1195
5915,22988
5931,23879
5933,16728
5934,19363
