Name	Suburb	Stores Number	Location
KARINGAL HUB SHOPPING CENTRE Victoria	 Frankston	 stores: 123	 GPS: -38.153172,145.165494
KEILOR SHOPPING CENTRE Victoria	 Keilor Downs	 stores: 66	 GPS: -37.727952,144.806774
KENNINGTON VILLAGE SHOPPING CENTRE Victoria	 Bendigo	 stores: 4	 GPS: -36.775409,144.306331
LANSELL SQUARE Victoria	 Kangaroo Flat	 stores: 73	 GPS: -36.810475,144.242283
LILYDALE MARKETPLACE Victoria	 Lilydale	 stores: 56	 GPS: -37.759801,145.348895
LYNBROOK VILLAGE SHOPPING CENTRE Victoria	 Lynbrook	 stores: 30	 GPS: -38.05177,145.256595
MALVERN CENTRAL Victoria	 Malvern	 stores: 26	 GPS: -37.863028,145.027026
MANOR LAKES CENTRAL SHOPPING CENTRE Victoria	 Manor	 stores: 23	 GPS: -37.876281,144.614452
MARKET SQUARE SHOPPING CENTRE Victoria	 Geelong	 stores: 81	 GPS: -38.147951,144.361964
MEADOW HEIGHTS SHOPPING CENTRE Victoria	 Meadow Heights	 stores: 9	 GPS: -37.650845,144.922161
MELBOURNE CENTRAL SHOPPING CENTRE Victoria	 Melbourne	 stores: 272	 GPS: -37.810813,144.962812
MELBOURNE GPO Victoria	 Melbourne	 stores: 10	 GPS: -37.813692,144.963206
MELTON GATEWAY Victoria	 Melton	 stores: 11	 GPS: -37.688442,144.603102
MIDVALLEY SHOPPING CENTRE Victoria	 Morwell	 stores: 68	 GPS: -38.236989,146.429798
MILDURA CENTRAL Victoria	 Mildura	 stores: 74	 GPS: -34.208196,142.138774
MILLEARA SHOPPING CENTRE Victoria	 Keilor East	 stores: 20	 GPS: -37.749591,144.861442
MITCHAM SHOPPING CENTRE Victoria	 Mitcham	 stores: 4	 GPS: -37.815739,145.192535
MOONEE PONDS CENTRAL Victoria	 Moonee Ponds	 stores: 62	 GPS: -37.765648,144.922669
MOORABBIN HOUSE AND HOME CENTRE Victoria	 Moorabbin	 stores: 7	 GPS: -37.939558,145.038272
MORDIALLOC PLAZA Victoria	 Mordialloc	 stores: 11	 GPS: -38.008072,145.086614
MORNINGTON CENTRAL Victoria	 Mornington	 stores: 43	 GPS: -38.218566,145.039113
MORNINGTON VILLAGE SHOPPING CENTRE Victoria	 Mornington	 stores: 22	 GPS: -38.223672,145.040597
MOUNTAIN GATE SHOPPING CENTRE Victoria	 Ferntree Gully	 stores: 45	 GPS: -37.883678,145.274908
MOUNTAIN HIGH SHOPPING CENTRE Victoria	 Bayswater	 stores: 26	 GPS: -37.840921,145.265094
MYER BOURKE STREET Victoria	 Melbourne		 GPS: -37.813881,144.963993
NEWCOMB CENTRAL SHOPPING CENTRE Victoria	 Newcomb	 stores: 15	 GPS: -38.169956,144.39147
NORTH BLACKBURN SHOPPING CENTRE Victoria	 Blackburn	 stores: 41	 GPS: -37.812013,145.152392
NORTHCOTE SHOPPING PLAZA Victoria	 Melbourne	 stores: 63	 GPS: -37.768556,145.001845
NORTHLAND HOMEMAKER CENTRE Victoria	 Preston	 stores: 15	 GPS: -37.741697,145.027778
NORTHLAND SHOPPING CENTRE Victoria	 Preston	 stores: 302	 GPS: -37.739018,145.029845
OAKLEIGH CENTRAL Victoria	 Oakleigh	 stores: 44	 GPS: -37.901055,145.090211
OCEAN GROVE MARKETPLACE Victoria	 Ocean Grove	 stores: 19	 GPS: -38.258894,144.548297
PACIFIC EPPING Victoria	 Epping	 stores: 244	 GPS: -37.653869,145.018678
