,year,area_code,Total,SA2 code,SA2 name,Postcode
4101,2009,21378,5725,21378,Flinders,3915.0
4102,2009,21379,20388,21379,Hastings - Somers,3915.0
4103,2009,21380,22854,21380,Mornington,3931.0
4104,2009,21381,17626,21381,Mount Eliza,3930.0
4105,2009,21382,16869,21382,Mount Martha,3934.0
4106,2009,21383,16648,21383,Point Nepean,3939.0
4107,2009,21384,19761,21384,Rosebud - McCrae,3936.0
4108,2009,21385,17900,21385,Somerville,3911.0
4109,2009,21386,8121,21386,Ararat,3377.0
4110,2009,21387,3027,21387,Ararat Region,3271.0
4111,2009,21388,15748,21388,Horsham,3400.0
4112,2009,21389,3520,21389,Horsham Region,3385.0
4113,2009,21390,7457,21390,Nhill Region,3393.0
4114,2009,21391,3678,21391,St Arnaud,3384.0
4115,2009,21392,8451,21392,Stawell,3374.0
4116,2009,21393,3018,21393,West Wimmera,3312.0
4117,2009,21394,7352,21394,Yarriambiack,3385.0
4118,2009,21395,6586,21395,Irymple,3498.0
4119,2009,21396,4693,21396,Merbein,3496.0
4120,2009,21398,4000,21398,Mildura Region,3489.0
4121,2009,21399,5498,21399,Red Cliffs,3496.0
4122,2009,21469,17433,21469,Mildura - North,
4123,2009,21470,13163,21470,Mildura - South,
4124,2009,21400,6733,21400,Buloke,3393.0
4125,2009,21401,6851,21401,Gannawarra,2732.0
4126,2009,21402,4075,21402,Kerang,3579.0
4127,2009,21403,3689,21403,Robinvale,3549.0
4128,2009,21404,10516,21404,Swan Hill,3585.0
4129,2009,21405,6853,21405,Swan Hill Region,2715.0
4130,2009,21406,14175,21406,Echuca,3564.0
4131,2009,21407,10823,21407,Kyabram,3561.0
4132,2009,21408,4056,21408,Lockington - Gunbower,3561.0
4133,2009,21409,3839,21409,Rochester,3559.0
4134,2009,21410,4240,21410,Rushworth,3523.0
4135,2009,21411,6203,21411,Cobram,3644.0
4136,2009,21412,2655,21412,Moira,3636.0
4137,2009,21413,12451,21413,Numurkah,2714.0
4138,2009,21414,6831,21414,Yarrawonga,3730.0
4139,2009,21415,7983,21415,Mooroopna,3629.0
4140,2009,21416,17033,21416,Shepparton - North,3630.0
4141,2009,21417,21247,21417,Shepparton - South,3630.0
4142,2009,21418,4031,21418,Shepparton Region - East,3610.0
4143,2009,21419,9995,21419,Shepparton Region - West,3608.0
4144,2009,21420,9171,21420,Glenelg (Vic.),3285.0
4145,2009,21421,10378,21421,Hamilton (Vic.),3300.0
4146,2009,21422,10812,21422,Portland,3305.0
4147,2009,21423,6604,21423,Southern Grampians,3289.0
4148,2009,21471,3529,21471,Camperdown,
4149,2009,21472,11759,21472,Colac,
4150,2009,21473,5605,21473,Colac Region,
4151,2009,21474,5530,21474,Corangamite - North,
4152,2009,21475,7513,21475,Corangamite - South,
4153,2009,21476,3490,21476,Otway,
4154,2009,21477,6703,21477,Moyne - East,
4155,2009,21478,8878,21478,Moyne - West,
4156,2009,21479,19369,21479,Warrnambool - North,
4157,2009,21480,12965,21480,Warrnambool - South,
4158,2010,21001,7894,21001,Alfredton,3350.0
4159,2010,21002,12462,21002,Ballarat,3350.0
4160,2010,21003,22215,21003,Ballarat - North,3350.0
4161,2010,21004,22666,21004,Ballarat - South,3350.0
4162,2010,21005,6595,21005,Buninyong,3350.0
4163,2010,21006,5699,21006,Delacombe,3351.0
4164,2010,21007,3774,21007,Smythes Creek,3351.0
4165,2010,21008,14104,21008,Wendouree - Miners Rest,3352.0
4166,2010,21009,5536,21009,Bacchus Marsh Region,3340.0
4167,2010,21010,7473,21010,Creswick - Clunes,3352.0
4168,2010,21011,8536,21011,Daylesford,3363.0
4169,2010,21012,5485,21012,Gordon (Vic.),3333.0
4170,2010,21013,3343,21013,Avoca,3352.0
4171,2010,21014,3882,21014,Beaufort,3325.0
4172,2010,21015,4068,21015,Golden Plains - North,3324.0
4173,2010,21016,7692,21016,Maryborough (Vic.),3465.0
4174,2010,21017,5153,21017,Maryborough Region,3370.0
4175,2010,21018,14752,21018,Bendigo,3550.0
4176,2010,21019,10159,21019,California Gully - Eaglehawk,3550.0
4177,2010,21020,13817,21020,East Bendigo - Kennington,3550.0
4178,2010,21021,9310,21021,Flora Hill - Spring Gully,3550.0
4179,2010,21022,18522,21022,Kangaroo Flat - Golden Square,3555.0
4180,2010,21023,4087,21023,Maiden Gully,3551.0
4181,2010,21024,6823,21024,Strathfieldsaye,3551.0
4182,2010,21025,8508,21025,White Hills - Ascot,3550.0
4183,2010,21026,6169,21026,Bendigo Region - South,3444.0
4184,2010,21027,9860,21027,Castlemaine,3450.0
4185,2010,21028,8253,21028,Castlemaine Region,3364.0
4186,2010,21029,4083,21029,Heathcote,3444.0
4187,2010,21030,8785,21030,Kyneton,3435.0
4188,2010,21031,6437,21031,Woodend,3437.0
4189,2010,21032,4168,21032,Bendigo Region - North,3551.0
4190,2010,21033,7234,21033,Loddon,3463.0
4191,2010,21034,4527,21034,Bannockburn,3221.0
4192,2010,21035,6072,21035,Golden Plains - South,3221.0
4193,2010,21036,5756,21036,Winchelsea,3216.0
4194,2010,21037,13805,21037,Belmont,3216.0
4195,2010,21038,26330,21038,Corio - Norlane,3214.0
4196,2010,21039,12342,21039,Geelong,3215.0
4197,2010,21040,19092,21040,Geelong West - Hamlyn Heights,3215.0
4198,2010,21041,19692,21041,Grovedale,3216.0
4199,2010,21042,19449,21042,Highton,3216.0
4200,2010,21043,15503,21043,Lara,3211.0
4201,2010,21044,9784,21044,Leopold,3222.0
4202,2010,21045,14885,21045,Newcomb - Moolap,3219.0
4203,2010,21046,9968,21046,Newtown (Vic.),3220.0
4204,2010,21047,14361,21047,North Geelong - Bell Park,3215.0
4205,2010,21048,11735,21048,Clifton Springs,3222.0
4206,2010,21049,5123,21049,Lorne - Anglesea,3230.0
4207,2010,21050,18349,21050,Ocean Grove - Barwon Heads,3221.0
4208,2010,21051,6400,21051,Portarlington,3221.0
4209,2010,21052,4175,21052,Point Lonsdale - Queenscliff,3222.0
4210,2010,21053,14743,21053,Torquay,3216.0
4211,2010,21054,6219,21054,Alexandra,3666.0
4212,2010,21055,6017,21055,Euroa,3610.0
4213,2010,21056,11685,21056,Kilmore - Broadford,3658.0
4214,2010,21057,8144,21057,Mansfield (Vic.),3669.0
4215,2010,21058,3580,21058,Nagambie,3523.0
4216,2010,21059,6526,21059,Seymour,3660.0
4217,2010,21060,4246,21060,Seymour Region,3435.0
4218,2010,21061,219,21061,Upper Yarra Valley,3799.0
4219,2010,21062,3428,21062,Yea,3658.0
4220,2010,21063,10425,21063,Benalla,3672.0
4221,2010,21064,3439,21064,Benalla Region,3669.0
4222,2010,21065,3731,21065,Rutherglen,3682.0
4223,2010,21066,17837,21066,Wangaratta,3677.0
4224,2010,21067,9363,21067,Wangaratta Region,3673.0
4225,2010,21068,4260,21068,Beechworth,3747.0
4226,2010,21069,7841,21069,Bright - Mount Beauty,3691.0
4227,2010,21070,2906,21070,Chiltern - Indigo Valley,3683.0
4228,2010,21071,4601,21071,Myrtleford,3737.0
4229,2010,21072,5989,21072,Towong,2642.0
4230,2010,21073,14610,21073,West Wodonga,3690.0
4231,2010,21074,20677,21074,Wodonga,3690.0
4232,2010,21075,4435,21075,Yackandandah,3691.0
4233,2010,21076,12599,21076,Drouin,3816.0
4234,2010,21077,6036,21077,Mount Baw Baw Region,3818.0
4235,2010,21078,6947,21078,Trafalgar (Vic.),3821.0
4236,2010,21079,16632,21079,Warragul,3818.0
4238,2010,21081,13320,21081,Bairnsdale,3875.0
4239,2010,21082,7348,21082,Bruthen - Omeo,3701.0
4241,2010,21084,9453,21084,Lakes Entrance,3887.0
4242,2010,21085,6813,21085,Orbost,3885.0
4243,2010,21086,5570,21086,Paynesville,3875.0
4244,2010,21087,8240,21087,Foster,3871.0
4245,2010,21088,108,21088,French Island,3921.0
4246,2010,21089,8650,21089,Korumburra,3945.0
4247,2010,21090,10535,21090,Leongatha,3835.0
4248,2010,21091,9500,21091,Phillip Island,3922.0
4249,2010,21092,14,21092,Wilsons Promontory,3960.0
4250,2010,21093,19787,21093,Wonthaggi - Inverloch,3925.0
4251,2010,21094,11489,21094,Churchill,3840.0
4252,2010,21095,16876,21095,Moe - Newborough,3825.0
4253,2010,21096,14207,21096,Morwell,3840.0
4254,2010,21097,25844,21097,Traralgon,3844.0
4255,2010,21098,4490,21098,Yallourn North - Glengarry,3825.0
4256,2010,21099,28,21099,Alps - West,3858.0
4257,2010,21100,3861,21100,Longford - Loch Sport,3850.0
4258,2010,21101,13488,21101,Maffra,3850.0
4259,2010,21102,4573,21102,Rosedale,3844.0
4260,2010,21103,14315,21103,Sale,3850.0
4261,2010,21104,5419,21104,Yarram,3844.0
4262,2010,21105,23546,21105,Brunswick,3055.0
4263,2010,21106,8789,21106,Brunswick East,3054.0
4264,2010,21107,13741,21107,Brunswick West,3052.0
4265,2010,21108,26015,21108,Coburg,3044.0
4266,2010,21109,9810,21109,Pascoe Vale South,3044.0
4267,2010,21110,8506,21110,Alphington - Fairfield,3070.0
4268,2010,21111,24070,21111,Northcote,3070.0
4269,2010,21112,18177,21112,Thornbury,3070.0
4270,2010,21113,14012,21113,Ascot Vale,3032.0
4271,2010,21114,25575,21114,Essendon - Aberfeldie,3040.0
4272,2010,21115,9261,21115,Flemington,3031.0
4273,2010,21116,14164,21116,Moonee Ponds,3039.0
4274,2010,21117,14926,21117,Carlton,3000.0
4275,2010,21118,5780,21118,Docklands,3005.0
4276,2010,21119,5272,21119,East Melbourne,3000.0
4277,2010,21120,83,21120,Flemington Racecourse,3031.0
4278,2010,21121,10230,21121,Kensington (Vic.),3031.0
4279,2010,21122,20382,21122,Melbourne,3000.0
4280,2010,21123,15875,21123,North Melbourne,3000.0
4281,2010,21124,6482,21124,Parkville,3000.0
4282,2010,21125,6418,21125,South Yarra - West,3004.0
4283,2010,21126,12130,21126,Southbank,3004.0
4285,2010,21128,14595,21128,Albert Park,3004.0
4286,2010,21129,15552,21129,Elwood,3184.0
4287,2010,21130,15363,21130,Port Melbourne,3207.0
4288,2010,21131,14,21131,Port Melbourne Industrial,3207.0
4289,2010,21132,10400,21132,South Melbourne,3004.0
4290,2010,21133,23798,21133,St Kilda,3004.0
4291,2010,21134,16653,21134,St Kilda East,3182.0
4292,2010,21135,9318,21135,Armadale,3143.0
4293,2010,21136,18695,21136,Prahran - Windsor,3143.0
4294,2010,21137,15566,21137,South Yarra - East,3141.0
4295,2010,21138,13939,21138,Toorak,3142.0
4296,2010,21139,5029,21139,Abbotsford,3067.0
4297,2010,21140,8801,21140,Carlton North - Princes Hill,3054.0
4298,2010,21141,6684,21141,Collingwood,3066.0
4299,2010,21142,10238,21142,Fitzroy,3065.0
4300,2010,21143,12163,21143,Fitzroy North,3068.0
4301,2010,21144,27583,21144,Richmond (Vic.),3121.0
4302,2010,21145,8595,21145,Yarra - North,3068.0
4303,2010,21146,7834,21146,Ashburton (Vic.),3145.0
4304,2010,21147,16272,21147,Balwyn,3103.0
4305,2010,21148,20815,21148,Balwyn North,3103.0
4306,2010,21149,20822,21149,Camberwell,3124.0
4307,2010,21150,16609,21150,Glen Iris - East,3123.0
4308,2010,21151,21721,21151,Hawthorn,3122.0
4309,2010,21152,14369,21152,Hawthorn East,3122.0
4310,2010,21153,24757,21153,Kew,3101.0
4311,2010,21154,6519,21154,Kew East,3101.0
4312,2010,21155,16608,21155,Surrey Hills (West) - Canterbury,3124.0
4313,2010,21156,11350,21156,Bulleen,3105.0
4314,2010,21157,19131,21157,Doncaster,3107.0
4315,2010,21159,17371,21159,Templestowe,3106.0
4316,2010,21160,13816,21160,Templestowe Lower,3106.0
4317,2010,21424,15033,21424,Doncaster East (North),
4318,2010,21425,13284,21425,Doncaster East (South),
4319,2010,21161,20490,21161,Blackburn,3130.0
4320,2010,21162,10958,21162,Blackburn South,3130.0
4321,2010,21163,18218,21163,Box Hill,3128.0
4322,2010,21164,17051,21164,Box Hill North,3104.0
4323,2010,21165,11150,21165,Burwood,3125.0
4324,2010,21166,10572,21166,Burwood East,3151.0
4325,2010,21167,10207,21167,Surrey Hills (East) - Mont Albert,3127.0
4326,2010,21168,13351,21168,Beaumaris,3192.0
4327,2010,21169,22441,21169,Brighton (Vic.),3186.0
4328,2010,21170,16060,21170,Brighton East,3186.0
4329,2010,21171,10523,21171,Cheltenham - Highett (West),3188.0
4330,2010,21172,17471,21172,Hampton,3186.0
4331,2010,21173,15748,21173,Sandringham - Black Rock,3188.0
4332,2010,21174,21819,21174,Bentleigh - McKinnon,3187.0
4333,2010,21176,16915,21176,Carnegie,3163.0
4334,2010,21177,20583,21177,Caulfield - North,3145.0
4335,2010,21178,17177,21178,Caulfield - South,3162.0
4336,2010,21179,11278,21179,Elsternwick,3185.0
4337,2010,21180,7485,21180,Hughesdale,3166.0
4338,2010,21181,8990,21181,Murrumbeena,3163.0
4339,2010,21182,12835,21182,Ormond - Glen Huntly,3163.0
4340,2010,21426,14152,21426,Bentleigh East (North),
4341,2010,21427,12766,21427,Bentleigh East (South),
4342,2010,21183,8987,21183,Aspendale Gardens - Waterways,3195.0
4343,2010,21184,19,21184,Braeside,3195.0
4344,2010,21185,11700,21185,Carrum - Patterson Lakes,3175.0
4345,2010,21186,13277,21186,Chelsea - Bonbeach,3196.0
4346,2010,21187,5349,21187,Chelsea Heights,3196.0
4347,2010,21188,21083,21188,Cheltenham - Highett (East),3189.0
4348,2010,21189,12365,21189,Edithvale - Aspendale,3195.0
4349,2010,21190,12046,21190,Mentone,3194.0
4350,2010,21191,8283,21191,Moorabbin - Heatherton,3169.0
4352,2010,21193,19437,21193,Mordialloc - Parkdale,3195.0
4353,2010,21194,20235,21194,Malvern - Glen Iris,3144.0
4354,2010,21195,20975,21195,Malvern East,3145.0
4355,2010,21196,9906,21196,Bundoora - East,3083.0
4356,2010,21197,20995,21197,Greensborough,3088.0
4357,2010,21198,14098,21198,Heidelberg - Rosanna,3084.0
4358,2010,21199,13798,21199,Heidelberg West,3081.0
4359,2010,21200,11587,21200,Ivanhoe,3079.0
4360,2010,21201,8032,21201,Ivanhoe East - Eaglemont,3079.0
4361,2010,21202,16182,21202,Montmorency - Briar Hill,3088.0
4362,2010,21203,18874,21203,Viewbank - Yallambie,3084.0
4363,2010,21204,9308,21204,Watsonia,3083.0
4364,2010,21205,10649,21205,Kingsbury,3083.0
4365,2010,21207,25662,21207,Reservoir - East,3072.0
4366,2010,21208,23828,21208,Reservoir - West,3058.0
4367,2010,21428,18780,21428,Preston - East,
4368,2010,21429,12108,21429,Preston - West,
4369,2010,21209,23791,21209,Eltham,3095.0
4370,2010,21210,3668,21210,Hurstbridge,3091.0
4371,2010,21211,3626,21211,Kinglake,3757.0
4372,2010,21212,5274,21212,Panton Hill - St Andrews,3097.0
4373,2010,21213,9344,21213,Plenty - Yarrambat,3088.0
4374,2010,21214,6859,21214,Research - North Warrandyte,3095.0
4375,2010,21215,13902,21215,Wattle Glen - Diamond Creek,3089.0
4376,2010,21216,5496,21216,Bundoora - North,3083.0
4377,2010,21217,6477,21217,Bundoora - West,3083.0
4378,2010,21219,20677,21219,Lalor,3074.0
4379,2010,21220,19219,21220,Mill Park - North,3076.0
4380,2010,21221,12960,21221,Mill Park - South,3082.0
4381,2010,21223,21526,21223,Thomastown,3074.0
4382,2010,21224,11643,21224,Wallan,3658.0
4383,2010,21225,7381,21225,Whittlesea,3064.0
4384,2010,21430,9109,21430,Doreen,
4385,2010,21431,12035,21431,Epping - East,
4386,2010,21432,8482,21432,Epping - South,
4387,2010,21433,4027,21433,Epping - West,
4388,2010,21434,4872,21434,Mernda,
4389,2010,21435,8649,21435,South Morang (North),
4390,2010,21436,11375,21436,South Morang (South),
4391,2010,21437,424,21437,Wollert,
4392,2010,21226,7175,21226,Airport West,3042.0
4394,2010,21228,8678,21228,Keilor,3033.0
4395,2010,21229,25344,21229,Keilor East,3033.0
4396,2010,21230,6458,21230,Niddrie - Essendon West,3033.0
4397,2010,21231,9419,21231,Strathmore,3041.0
4398,2010,21232,11055,21232,Gisborne,3337.0
4399,2010,21233,3329,21233,Macedon,3437.0
4400,2010,21234,3842,21234,Riddells Creek,3431.0
4401,2010,21235,8750,21235,Romsey,3430.0
4402,2010,21236,6784,21236,Coburg North,3044.0
4403,2010,21237,13106,21237,Fawkner,3060.0
4404,2010,21239,21298,21239,Pascoe Vale,3044.0
4405,2010,21438,20196,21438,Glenroy,
4406,2010,21439,2769,21439,Gowanbrae,
4407,2010,21440,5544,21440,Hadfield,
4408,2010,21240,13050,21240,Sunbury,3063.0
4409,2010,21241,24599,21241,Sunbury - South,3427.0
4410,2010,21242,12048,21242,Broadmeadows,3047.0
4411,2010,21243,16587,21243,Campbellfield - Coolaroo,3047.0
4412,2010,21245,17894,21245,Gladstone Park - Westmeadows,3043.0
4413,2010,21246,13243,21246,Greenvale - Bulla,3048.0
4414,2010,21247,15759,21247,Meadow Heights,3048.0
4415,2010,21248,149,21248,Melbourne Airport,3036.0
4416,2010,21249,19907,21249,Roxburgh Park - Somerton,3059.0
4417,2010,21250,6580,21250,Tullamarine,3043.0
4418,2010,21441,8238,21441,Craigieburn - Central,
4419,2010,21442,7726,21442,Craigieburn - North,
4420,2010,21443,12006,21443,Craigieburn - South,
4421,2010,21444,3251,21444,Craigieburn - West,
4422,2010,21445,1468,21445,Mickleham - Yuroke,
4423,2010,21251,11458,21251,Bayswater,3152.0
4424,2010,21254,13436,21254,Knoxfield - Scoresby,3156.0
4425,2010,21255,6796,21255,Lysterfield,3156.0
4426,2010,21256,15998,21256,Rowville - Central,3178.0
4427,2010,21257,8491,21257,Rowville - North,3156.0
4428,2010,21258,11265,21258,Rowville - South,3178.0
4429,2010,21259,14339,21259,Wantirna,3152.0
4430,2010,21260,18270,21260,Wantirna South,3152.0
4431,2010,21446,21312,21446,Boronia,
4432,2010,21447,13769,21447,Ferntree Gully (North),
4433,2010,21448,15177,21448,Ferntree Gully (South) - Upper Ferntree Gully,
4434,2010,21449,4418,21449,The Basin,
4435,2010,21261,16223,21261,Donvale - Park Orchards,3109.0
4436,2010,21262,10480,21262,Warrandyte - Wonga Park,3109.0
4437,2010,21263,11819,21263,Bayswater North,3137.0
4438,2010,21265,18728,21265,Croydon Hills - Warranwood,3115.0
4439,2010,21266,16410,21266,Ringwood,3134.0
4440,2010,21267,19454,21267,Ringwood East,3134.0
4441,2010,21268,9660,21268,Ringwood North,3114.0
4442,2010,21450,13879,21450,Croydon - East,
4443,2010,21451,11666,21451,Croydon - West,
4444,2010,21452,4647,21452,Croydon South,
4445,2010,21269,10370,21269,Forest Hill,3131.0
4446,2010,21270,15265,21270,Mitcham (Vic.),3132.0
4447,2010,21271,11276,21271,Nunawading,3131.0
4448,2010,21272,10214,21272,Vermont,3133.0
4449,2010,21273,11964,21273,Vermont South,3133.0
4450,2010,21274,10475,21274,Belgrave - Selby,3156.0
4451,2010,21275,9420,21275,Chirnside Park,3116.0
4452,2010,21276,13135,21276,Healesville - Yarra Glen,3770.0
4453,2010,21277,8768,21277,Kilsyth,3137.0
4454,2010,21278,18454,21278,Lilydale - Coldstream,3140.0
4455,2010,21279,5747,21279,Monbulk - Silvan,3782.0
4456,2010,21280,6955,21280,Montrose,3137.0
4457,2010,21281,21073,21281,Mooroolbark,3116.0
4458,2010,21282,10035,21282,Mount Dandenong - Olinda,3159.0
4459,2010,21283,9597,21283,Mount Evelyn,3139.0
4460,2010,21284,10085,21284,Upwey - Tecoma,3156.0
4461,2010,21285,7608,21285,Wandin - Seville,3139.0
4462,2010,21286,16318,21286,Yarra Valley,3139.0
4463,2010,21287,7769,21287,Beaconsfield - Officer,3807.0
4464,2010,21288,8330,21288,Bunyip - Garfield,3810.0
4465,2010,21289,17969,21289,Emerald - Cockatoo,3139.0
4466,2010,21290,6419,21290,Koo Wee Rup,3809.0
4467,2010,21291,11740,21291,Pakenham - North,3810.0
4468,2010,21292,19806,21292,Pakenham - South,3810.0
4469,2010,21293,22909,21293,Berwick - North,3806.0
4470,2010,21294,23118,21294,Berwick - South,3805.0
4471,2010,21295,10436,21295,Doveton,3177.0
4472,2010,21297,10582,21297,Hallam,3803.0
4473,2010,21299,7096,21299,Narre Warren North,3803.0
4474,2010,21453,12425,21453,Endeavour Hills - North,
4475,2010,21454,14308,21454,Endeavour Hills - South,
4476,2010,21455,13698,21455,Narre Warren - North East,
4477,2010,21456,13252,21456,Narre Warren - South West,
4478,2010,21300,18859,21300,Cranbourne,3977.0
4479,2010,21301,6844,21301,Cranbourne East,3977.0
4480,2010,21302,13655,21302,Cranbourne North,3977.0
4481,2010,21303,6311,21303,Cranbourne South,3977.0
4482,2010,21304,8837,21304,Cranbourne West,3977.0
4483,2010,21305,24432,21305,Hampton Park - Lynbrook,3976.0
4484,2010,21306,10529,21306,Lynbrook - Lyndhurst,3975.0
4485,2010,21308,7623,21308,Pearcedale - Tooradin,3912.0
4486,2010,21457,13045,21457,Narre Warren South (East),
4487,2010,21458,16512,21458,Narre Warren South (West),
4488,2010,21309,12234,21309,Clarinda - Oakleigh South,3167.0
4489,2010,21310,12078,21310,Clayton South,3169.0
4490,2010,21311,26613,21311,Dandenong,3175.0
4491,2010,21312,22983,21312,Dandenong North,3174.0
4492,2010,21313,10549,21313,Dingley Village,3169.0
4493,2010,21314,20479,21314,Keysborough,3173.0
4494,2010,21316,7762,21316,Noble Park North,3174.0
4495,2010,21317,20353,21317,Springvale,3171.0
4496,2010,21318,12715,21318,Springvale South,3172.0
4497,2010,21459,11639,21459,Noble Park - East,
4498,2010,21460,17668,21460,Noble Park - West,
4499,2010,21319,16658,21319,Ashwood - Chadstone,3125.0
4500,2010,21320,17583,21320,Clayton,3167.0
4501,2010,21321,21499,21321,Glen Waverley - East,3150.0
4502,2010,21322,19366,21322,Glen Waverley - West,3150.0
4503,2010,21323,15579,21323,Mount Waverley - North,3149.0
4504,2010,21324,17921,21324,Mount Waverley - South,3149.0
4505,2010,21325,18296,21325,Mulgrave,3170.0
4506,2010,21326,21049,21326,Oakleigh - Huntingdale,3166.0
4507,2010,21327,20295,21327,Wheelers Hill,3150.0
4508,2010,21328,7334,21328,Ardeer - Albion,3020.0
4509,2010,21329,9099,21329,Cairnlea,3023.0
4510,2010,21330,21390,21330,Deer Park - Derrimut,3023.0
4511,2010,21331,8896,21331,Delahey,3037.0
4512,2010,21332,14232,21332,Keilor Downs,3021.0
4513,2010,21333,14359,21333,Kings Park (Vic.),3021.0
4514,2010,21334,19562,21334,St Albans - North,3021.0
4515,2010,21335,16882,21335,St Albans - South,3021.0
4516,2010,21336,9129,21336,Sunshine,3020.0
4517,2010,21337,10982,21337,Sunshine North,3020.0
4518,2010,21338,17303,21338,Sunshine West,3012.0
4519,2010,21339,11924,21339,Sydenham,3037.0
4520,2010,21340,19125,21340,Taylors Lakes,3036.0
4521,2010,21341,12213,21341,Altona,3018.0
4522,2010,21342,19780,21342,Altona Meadows,3028.0
4523,2010,21343,13366,21343,Altona North,3012.0
4524,2010,21344,16670,21344,Newport,3015.0
4525,2010,21345,5218,21345,Seabrook,3028.0
4526,2010,21346,15393,21346,Williamstown,3016.0
4527,2010,21347,16343,21347,Braybrook,3012.0
4528,2010,21348,13214,21348,Footscray,3011.0
4529,2010,21349,10510,21349,Maribyrnong,3032.0
4530,2010,21350,8618,21350,Seddon - Kingsville,3011.0
4531,2010,21351,10743,21351,West Footscray - Tottenham,3012.0
4532,2010,21352,14185,21352,Yarraville,3013.0
4533,2010,21353,17006,21353,Bacchus Marsh,3340.0
4534,2010,21355,15901,21355,Hillside,3037.0
4535,2010,21356,17713,21356,Melton,3335.0
4536,2010,21357,14983,21357,Melton South,3338.0
4537,2010,21358,13764,21358,Melton West,3337.0
4538,2010,21359,2673,21359,Rockbank - Mount Cottrell,3023.0
4539,2010,21360,15210,21360,Taylors Hill,3023.0
4540,2010,21461,4474,21461,Burnside,
4541,2010,21462,4596,21462,Burnside Heights,
4542,2010,21463,15981,21463,Caroline Springs,
4543,2010,21361,19591,21361,Hoppers Crossing - North,3029.0
4544,2010,21362,19241,21362,Hoppers Crossing - South,3029.0
4545,2010,21363,5130,21363,Laverton,3026.0
4546,2010,21365,19632,21365,Tarneit,3024.0
4547,2010,21366,9365,21366,Truganina,3027.0
4548,2010,21368,10743,21368,Werribee - South,3029.0
4549,2010,21369,16365,21369,Wyndham Vale,3024.0
4550,2010,21464,6308,21464,Point Cook - East,
4551,2010,21465,18603,21465,Point Cook - North,
4552,2010,21466,4182,21466,Point Cook - South,
4553,2010,21467,19454,21467,Werribee - East,
4554,2010,21468,11189,21468,Werribee - West,
4555,2010,21370,19499,21370,Carrum Downs,3201.0
4556,2010,21371,22239,21371,Frankston,3199.0
4557,2010,21372,19581,21372,Frankston North,3199.0
4558,2010,21373,18176,21373,Frankston South,3199.0
4559,2010,21374,23095,21374,Langwarrin,3910.0
4560,2010,21375,16516,21375,Seaford (Vic.),3197.0
4561,2010,21376,9946,21376,Skye - Sandhurst,3977.0
4562,2010,21377,9249,21377,Dromana,3936.0
4563,2010,21378,5668,21378,Flinders,3915.0
4564,2010,21379,20729,21379,Hastings - Somers,3915.0
4565,2010,21380,23164,21380,Mornington,3931.0
4566,2010,21381,17824,21381,Mount Eliza,3930.0
4567,2010,21382,17332,21382,Mount Martha,3934.0
4568,2010,21383,16662,21383,Point Nepean,3939.0
4569,2010,21384,19966,21384,Rosebud - McCrae,3936.0
4570,2010,21385,17948,21385,Somerville,3911.0
4571,2010,21386,8161,21386,Ararat,3377.0
4572,2010,21387,2995,21387,Ararat Region,3271.0
4573,2010,21388,15918,21388,Horsham,3400.0
4574,2010,21389,3498,21389,Horsham Region,3385.0
4575,2010,21390,7380,21390,Nhill Region,3393.0
4576,2010,21391,3658,21391,St Arnaud,3384.0
4577,2010,21392,8466,21392,Stawell,3374.0
4578,2010,21393,2974,21393,West Wimmera,3312.0
4579,2010,21394,7248,21394,Yarriambiack,3385.0
4580,2010,21395,6597,21395,Irymple,3498.0
4581,2010,21396,4682,21396,Merbein,3496.0
4582,2010,21398,3923,21398,Mildura Region,3489.0
4583,2010,21399,5479,21399,Red Cliffs,3496.0
4584,2010,21469,17438,21469,Mildura - North,
4585,2010,21470,13506,21470,Mildura - South,
4586,2010,21400,6616,21400,Buloke,3393.0
4587,2010,21401,6713,21401,Gannawarra,2732.0
4588,2010,21402,4006,21402,Kerang,3579.0
4589,2010,21403,3671,21403,Robinvale,3549.0
4590,2010,21404,10536,21404,Swan Hill,3585.0
4591,2010,21405,6754,21405,Swan Hill Region,2715.0
4592,2010,21406,14278,21406,Echuca,3564.0
4593,2010,21407,10855,21407,Kyabram,3561.0
4594,2010,21408,3935,21408,Lockington - Gunbower,3561.0
4595,2010,21409,3872,21409,Rochester,3559.0
4596,2010,21410,4200,21410,Rushworth,3523.0
4597,2010,21411,6287,21411,Cobram,3644.0
4598,2010,21412,2627,21412,Moira,3636.0
4599,2010,21413,12436,21413,Numurkah,2714.0
4600,2010,21414,6981,21414,Yarrawonga,3730.0
4601,2010,21415,8001,21415,Mooroopna,3629.0
4602,2010,21416,17293,21416,Shepparton - North,3630.0
4603,2010,21417,21774,21417,Shepparton - South,3630.0
4604,2010,21418,4001,21418,Shepparton Region - East,3610.0
4605,2010,21419,9993,21419,Shepparton Region - West,3608.0
4606,2010,21420,9068,21420,Glenelg (Vic.),3285.0
4607,2010,21421,10344,21421,Hamilton (Vic.),3300.0
4608,2010,21422,10856,21422,Portland,3305.0
4609,2010,21423,6495,21423,Southern Grampians,3289.0
4610,2010,21471,3506,21471,Camperdown,
4611,2010,21472,11888,21472,Colac,
4612,2010,21473,5520,21473,Colac Region,
4613,2010,21474,5496,21474,Corangamite - North,
4614,2010,21475,7509,21475,Corangamite - South,
4615,2010,21476,3460,21476,Otway,
