postcode,SA2_maincode_2021
3152,211011260
3012,213031351
3000,213031351
3011,213031351
3070,206021500
3071,206021500
3028,213021342
3016,213021346
3131,211041271
3055,206011109
3044,206011109
3058,206011109
3044,210031538
3046,210031538
3058,210031538
3032,213031349
3000,213031349
3012,213031347
3019,213031347
3978,213031347
3083,209041217
3168,212051567
3169,212051567
3170,212051567
3150,212051327
3082,209041220
3169,212041309
3167,212041309
3153,211011251
3152,211011251
3155,211011251
3042,210011230
3040,210011230
3064,210051441
3029,210051441
3200,214011372
3199,214011372
3910,214011372
3015,213021344
3025,213021344
3074,209041223
3064,209041223
3075,209041223
3058,206011498
3044,206011498
3064,210051542
3350,201011484
3356,201011484
3083,209021205
3085,209021205
3058,206011497
3056,206011497
3064,206011497
3215,203021040
3218,203021040
3083,209041216
3031,206031115
3032,206031115
3000,206031115
3076,209041431
3019,209041431
3498,215021395
3501,215021395
3500,215021395
3555,202011022
3055,206011107
3056,206011107
3052,206011107
3058,206011107
3072,209021428
3004,209021428
3071,209021428
3170,212051325
3122,212051325
3175,212041563
3030,213051466
3029,213051583
3030,213051468
3024,213051468
3211,213051468
3064,210051543
3029,213051588
3754,209041527
3338,213041572
3046,210031537
3044,210031537
3335,213041574
3023,213041574
3336,213041574
3024,213051579
3750,209041437
3076,209041437
3030,213051464
3029,213051464
3038,213011332
3012,213011332
3021,213011332
3026,213011570
3023,213011570
3030,213011570
0,201031013
3042,210011226
3690,210011226
3335,213041359
3023,213041359
3336,213041359
3029,213041359
3024,213041359
3046,210031535
3029,210031535
3977,212031304
3810,212011550
3809,212011550
3000,213051587
3029,213051587
3027,213051587
3941,214021383
3942,214021383
3931,214021383
3943,214021383
3939,214021383
3944,214021383
3802,212021454
3023,213041463
3030,213051368
3036,210011228
3043,210011228
3033,210011228
3024,210011228
3042,210011228
3043,210051250
3806,212021554
3805,212021554
3806,212021553
3807,212021553
3076,209041433
3750,209041433
3428,210051246
3059,210051246
3063,210051246
3034,210011533
3025,210011533
3064,210051442
3064,210051544
3062,210051544
3003,206041127
3047,210051242
3046,210051242
3021,213011335
3049,210051245
3043,210051245
3046,210031536
3028,213051363
3027,213051363
3026,213051363
3025,213051363
3033,210011534
3036,210011534
3060,210031237
3031,206041120
3020,213011338
3012,213011338
3024,213051590
3030,213051590
3087,209011204
3088,209011204
3041,210011231
3044,210011231
3666,204011055
3669,204011055
3631,204011055
3665,204011055
3076,209041432
3058,210031236
3044,210031236
3072,209021525
3073,209021525
3168,212051568
3169,212051568
3018,213021341
3337,213041577
3338,213041577
3754,209041531
3180,211011254
3179,211011254
3152,211011254
3169,212041310
3168,212041310
3805,212021455
3978,212021455
3804,212021455
3029,213051586
3178,211011258
3029,213051584
3083,209011196
3136,211031450
3137,211031450
3073,209021523
3089,209031215
3096,209031215
3809,209031215
3030,213051581
3150,212051321
3064,210051445
3805,212021456
3131,211041269
3155,211011446
3152,211011446
3029,213051582
3024,213051582
3028,213021345
3171,212041317
3156,211011447
3180,211011447
3173,212041565
3175,212041565
3064,212041565
3175,212041564
3975,212041564
3174,212041459
3037,213041575
3046,210031440
3075,209041530
3074,209041530
3076,209041530
3150,212051322
3084,209011203
3085,209011203
3088,209011203
3061,210051243
3047,210051243
3048,210051243
3074,210051243
3060,210051243
3850,205051103
3825,205041095
3752,209041436
3752,209041435
3750,209041435
3023,213011569
3020,213011336
3019,213011336
3926,214021379
3915,214021379
3919,214021379
3927,214021379
3918,214021379
3723,204011057
3338,213041578
3337,213041578
3340,213041353
3230,203031049
3231,203031049
3232,203031049
3235,203031049
3216,203021037
3214,203021488
3427,210041539
3023,213041462
3073,209021526
3058,209021526
3072,209021526
3754,209041532
3137,211051277
3978,212031303
3977,212031303
3043,210051248
3029,213051361
3024,213051589
3135,211031267
3134,211031267
3177,212021295
3174,212021295
3810,212011552
3809,212011546
3807,212011546
3806,212011546
3020,213011328
3022,213011328
3764,204011056
3658,204011056
3088,209011197
3087,209011197
3095,209011197
3133,211041273
3131,211041273
3775,209031212
3754,209031212
3760,209031212
3099,209031212
3759,209031212
3977,212031558
3978,212031558
3030,213051580
3224,213051580
3978,212031557
3977,212031557
3810,212011551
3977,212031300
3073,209021524
3174,212041460
3172,212041460
3171,212041460
3029,213051585
3136,211031265
3134,211031265
3175,212041312
3174,212041312
3136,211031451
3043,210031439
3075,209041529
3074,209041529
3550,202011018
3555,202011018
3152,211011259
3153,211011259
3030,213051467
3029,213051467
3337,213041358
3138,211051281
3976,212031562
3337,213041576
3338,213041571
3337,213041571
3021,213011333
3064,209041225
3757,209041225
3755,209041225
3753,209041225
3751,209041225
3076,209041225
3064,210051443
3754,209041528
3156,211011448
3140,211051278
3770,211051278
3064,210051545
3037,213041360
3023,213041360
3037,213011339
3021,213011334
3216,203021487
3217,203021487
3220,203021046
3023,213041461
3048,210051247
3178,211011257
3093,209011202
3088,209011202
3094,209011202
3095,209011202
3088,209031213
3091,209031213
3090,209031213
3431,210021234
3437,210021232
3438,210021232
3217,203031053
3228,203031053
3756,209041224
3753,209041224
3758,209041224
3658,209041224
3429,210041540
3427,210041540
3564,216011406
3153,211031263
3135,211031263
3137,211031263
3977,212031560
3977,212031559
3781,212011289
3782,212011289
3783,212011289
3808,212011289
3217,203021485
3216,203021485
3975,212031306
3217,203031489
3227,203031489
3978,203031489
3806,212021293
3201,214011370
3215,203021047
3213,203021047
3220,203021047
3377,215011387
3379,215011387
3219,203021045
3224,203021045
3220,203021045
3224,203021044
3977,214011376
3228,214011376
3429,210041541
3803,212021297
3805,212021297
3810,212011549
3216,203021042
3898,204031069
3698,204031069
3699,204031069
3691,204031069
3744,204031069
3697,204031069
3833,205011077
3825,205011077
3831,205011077
3821,205011077
3818,205011077
3832,205011077
3220,203021039
3219,203021039
3805,212031458
3195,208031183
3802,212021453
3177,212021453
3976,212031561
3717,204011062
3658,204011062
3099,209031210
3113,209031214
3095,209031214
3134,211031268
3978,212031555
3172,212041318
3171,212041318
3644,216021411
3136,211031452
