,bench,cafe,childcare,fast_food,kindergarten,parking,restaurant,place_of_worship,school,university,garden,park,playground,pitch,surburb,postcode
118,4.0,5.0,,2.0,,26.0,5.0,,,,3.0,3.0,3.0,1.0,seaford,3198
119,28.0,21.0,1.0,33.0,,188.0,23.0,3.0,16.0,1.0,8.0,59.0,30.0,109.0,safety beach,3936
120,4.0,2.0,1.0,8.0,1.0,16.0,1.0,2.0,2.0,,1.0,11.0,8.0,10.0,cremorne,3121
121,17.0,,,1.0,3.0,29.0,1.0,2.0,7.0,,,38.0,11.0,245.0,frankston,3199
122,20.0,2.0,,4.0,1.0,55.0,4.0,2.0,6.0,,,26.0,12.0,13.0,heidelberg west,3081
123,29.0,3.0,,,,69.0,8.0,2.0,3.0,,,48.0,14.0,11.0,donvale,3111
124,269.0,14.0,2.0,5.0,1.0,101.0,15.0,3.0,3.0,,6.0,29.0,12.0,18.0,templestowe lower,3107
125,1.0,,,,2.0,5.0,,2.0,4.0,,,17.0,7.0,5.0,templestowe,3106
126,17.0,5.0,,20.0,4.0,108.0,6.0,9.0,8.0,,3.0,36.0,24.0,98.0,kensington,3031
127,,,,,,,,,,,,,,,vermont,3133
128,,,,,,7.0,,1.0,,,1.0,2.0,,,keysborough,3173
129,2.0,3.0,,6.0,1.0,71.0,1.0,2.0,4.0,1.0,,25.0,6.0,52.0,eltham,3095
130,73.0,26.0,2.0,21.0,10.0,155.0,41.0,17.0,34.0,,2.0,139.0,63.0,339.0,shoreham,3916
131,4.0,4.0,,13.0,,30.0,3.0,2.0,6.0,,,45.0,25.0,56.0,rosebud,3939
132,6.0,2.0,,1.0,1.0,10.0,,1.0,3.0,,,8.0,2.0,9.0,warrandyte,3113
133,,,,,,1.0,,,,,,,,,langwarrin,3910
134,2.0,1.0,,10.0,,9.0,1.0,,1.0,,,20.0,3.0,6.0,park orchards,3114
135,,2.0,1.0,4.0,1.0,53.0,6.0,4.0,3.0,,,22.0,14.0,27.0,blackburn,3130
136,2.0,,,,,1.0,,,,,,,,,patterson lakes,3197
137,8.0,6.0,2.0,20.0,4.0,173.0,26.0,4.0,6.0,1.0,1.0,67.0,26.0,60.0,dingley village,3172
138,,,,,,,,,,,,,,,footscray,3011
139,1.0,,,6.0,1.0,33.0,2.0,3.0,3.0,,1.0,44.0,11.0,36.0,wantirna south,3152
140,11.0,7.0,,8.0,,40.0,27.0,3.0,7.0,,6.0,19.0,11.0,32.0,west footscray,3012
141,,,,,,,,,,,,,,,altona meadows,3028
142,1.0,,,,,,,,,,,,,,williamstown,3016
143,4.0,12.0,2.0,8.0,2.0,18.0,12.0,5.0,7.0,,,18.0,9.0,9.0,nunawading,3131
144,,,,,,1.0,,,,,,,,,burnley,3121
145,31.0,7.0,,7.0,,22.0,10.0,5.0,2.0,,,8.0,3.0,13.0,brunswick west,3055
146,,,,,,,,,,,,1.0,1.0,,carrum,3197
147,5.0,13.0,3.0,5.0,1.0,51.0,8.0,4.0,5.0,,,21.0,13.0,18.0,chelsea,3196
148,18.0,3.0,1.0,9.0,,69.0,12.0,,3.0,,3.0,34.0,4.0,23.0,gardenvale,3185
149,3.0,1.0,,,1.0,15.0,,1.0,,,,12.0,4.0,7.0,pascoe vale,3044
150,4.0,3.0,,4.0,4.0,36.0,4.0,1.0,2.0,,,11.0,8.0,9.0,maribyrnong,3032
151,43.0,28.0,4.0,23.0,8.0,302.0,41.0,9.0,21.0,3.0,15.0,150.0,72.0,104.0,maidstone,3012
152,7.0,1.0,,,,5.0,,,2.0,,6.0,8.0,2.0,,pascoe vale south,3044
153,2.0,,,4.0,,22.0,1.0,1.0,1.0,,,13.0,3.0,8.0,bundoora,3083
154,42.0,36.0,2.0,14.0,2.0,125.0,47.0,9.0,2.0,1.0,36.0,49.0,7.0,26.0,essendon north,3041
155,4.0,6.0,,2.0,5.0,59.0,4.0,6.0,10.0,,,56.0,21.0,60.0,heatherton,3202
156,,,,1.0,3.0,4.0,,1.0,1.0,,1.0,14.0,4.0,2.0,clayton,3168
157,46.0,1.0,,10.0,2.0,141.0,3.0,5.0,13.0,1.0,9.0,232.0,58.0,38.0,wheelers hill,3150
158,,,,2.0,1.0,5.0,1.0,3.0,3.0,,,14.0,6.0,4.0,oakleigh east,3166
159,55.0,17.0,4.0,25.0,5.0,172.0,27.0,14.0,17.0,,2.0,122.0,57.0,88.0,mill park,3082
160,,2.0,,2.0,,2.0,,,,,,4.0,1.0,1.0,clarinda,3169
161,,2.0,,2.0,1.0,16.0,3.0,1.0,,,,3.0,3.0,1.0,bayswater,3153
162,195.0,11.0,2.0,16.0,12.0,180.0,9.0,12.0,31.0,,3.0,164.0,75.0,229.0,kingsville,3012
163,6.0,4.0,3.0,12.0,3.0,129.0,5.0,,13.0,,20.0,124.0,37.0,80.0,heidelberg heights,3081
164,17.0,1.0,,2.0,,26.0,,,3.0,,,9.0,8.0,14.0,niddrie,3042
165,,,,,,,,,,,,,,,craigieburn,3064
166,42.0,18.0,3.0,26.0,6.0,333.0,8.0,12.0,29.0,,24.0,260.0,71.0,92.0,frankston north,3200
167,14.0,35.0,,8.0,12.0,45.0,22.0,14.0,15.0,,10.0,52.0,24.0,25.0,newport,3015
168,55.0,29.0,,13.0,1.0,46.0,34.0,4.0,3.0,2.0,,23.0,4.0,13.0,thomastown,3074
169,6.0,2.0,,2.0,,12.0,,,5.0,,,6.0,7.0,22.0,coburg,3058
170,33.0,7.0,1.0,13.0,3.0,66.0,9.0,3.0,4.0,,40.0,12.0,8.0,10.0,ballarat central,3350
171,,,,,,2.0,,,,,,,,,hamlyn heights,3215
172,1.0,2.0,,4.0,4.0,34.0,1.0,1.0,4.0,,,20.0,9.0,32.0,flemington,3031
173,,1.0,,,,5.0,,,3.0,,,,,4.0,epping,3076
174,,1.0,,1.0,,6.0,,3.0,2.0,,1.0,4.0,1.0,8.0,oakleigh south,3167
