OBJECTID,STOP_ID,STOP_NAME,LATITUDE,LONGITUDE,TICKETZONE,ROUTES_USING_STOP
"93","19842",Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,"1","Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein"
"94","19843",Parliament Railway Station (Melbourne City),-37.811054,144.972911,"1","Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein"
"95","19844",Belgrave Railway Station (Belgrave),-37.909102,145.355291,"2",Belgrave
"96","19845",Tecoma Railway Station (Tecoma),-37.908118,145.342995,"2",Belgrave
"97","19846",Upwey Railway Station (Upwey),-37.903691,145.331333,"2",Belgrave
"98","19847",Alamein Railway Station (Ashburton),-37.86832,145.079656,"1",Alamein
"99","19848",Ashburton Railway Station (Ashburton),-37.861968,145.081344,"1",Alamein
"100","19849",Burwood Railway Station (Glen Iris),-37.851563,145.080511,"1",Alamein
"101","19850",Hartwell Railway Station (Camberwell),-37.843985,145.07556,"1",Alamein
"102","19851",Willison Railway Station (Camberwell),-37.835716,145.070298,"1",Alamein
"103","19852",Riversdale Railway Station (Camberwell),-37.831505,145.069646,"1",Alamein
"104","19853",Camberwell Railway Station (Camberwell),-37.826567,145.058697,"1","Belgrave,Lilydale,Alamein"
"105","19854",Flinders Street Railway Station (Melbourne City),-37.818305,144.966964,"1","Belgrave,Craigieburn,Cranbourne,Flemington,Frankston,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sandringham,Sunbury,Upfield,Werribee,Williamstown,Alamein"
"106","19855",Frankston Railway Station (Frankston),-38.14299,145.126162,"2","Stony Point,Frankston"
"107","19856",Kananook Railway Station (Seaford),-38.121742,145.135295,"2",Frankston
"108","19857",Seaford Railway Station (Seaford),-38.104021,145.12823,"2",Frankston
"109","19858",Carrum Railway Station (Carrum),-38.076504,145.122833,"2",Frankston
"110","19859",Bonbeach Railway Station (Bonbeach),-38.062945,145.11968,"2",Frankston
"111","19860",Chelsea Railway Station (Chelsea),-38.051955,145.116041,"2",Frankston
"112","19861",Edithvale Railway Station (Edithvale),-38.038056,145.108536,"2",Frankston
"113","19862",Aspendale Railway Station (Aspendale),-38.02722,145.10215,"2",Frankston
"114","19863",Mordialloc Railway Station (Mordialloc),-38.006583,145.087659,"2",Frankston
"115","19864",Parkdale Railway Station (Parkdale),-37.993079,145.076327,"2",Frankston
"116","19865",Mentone Railway Station (Mentone),-37.981865,145.065166,"2",Frankston
"117","19866",Cheltenham Railway Station (Cheltenham),-37.96665,145.054558,"2",Frankston
"118","19867",Upper Ferntree Gully Railway Station (Upper Ferntree Gully),-37.892672,145.30753,"2",Belgrave
"119","19868",Ferntree Gully Railway Station (Ferntree Gully),-37.881698,145.295251,"2",Belgrave
"120","19869",Boronia Railway Station (Boronia),-37.860452,145.284385,"2",Belgrave
"121","19870",Bayswater Railway Station (Bayswater),-37.84173,145.268136,"2",Belgrave
"122","19871",Heathmont Railway Station (Heathmont),-37.828322,145.244555,"2",Belgrave
"123","19872",Highett Railway Station (Highett),-37.948425,145.041872,"2",Frankston
"124","19873",Glen Waverley Railway Station (Glen Waverley),-37.879504,145.162058,"2",Glen Waverley
"125","19874",Syndal Railway Station (Glen Waverley),-37.87623,145.14978,"2",Glen Waverley
"126","19875",Mount Waverley Railway Station (Mount Waverley),-37.875255,145.128056,"2",Glen Waverley
"127","19876",Lilydale Railway Station (Lilydale),-37.755518,145.34771,"2",Lilydale
"128","19877",Mooroolbark Railway Station (Mooroolbark),-37.784749,145.312402,"2",Lilydale
"129","19878",Croydon Railway Station (Croydon),-37.795437,145.280598,"2",Lilydale
"130","19879",Ringwood East Railway Station (Ringwood East),-37.811968,145.250191,"2",Lilydale
"131","19880",Pakenham Railway Station (Pakenham),-38.080614,145.486379,"2",Pakenham
"132","19881",Officer Railway Station (Officer),-38.066146,145.410987,"2",Pakenham
"133","19882",Beaconsfield Railway Station (Beaconsfield),-38.050831,145.366074,"2",Pakenham
"134","19883",Berwick Railway Station (Berwick),-38.040408,145.345726,"2",Pakenham
"135","19884",Narre Warren Railway Station (Narre Warren),-38.027809,145.303969,"2",Pakenham
"136","19885",Hallam Railway Station (Hallam),-38.01774,145.269777,"2",Pakenham
"137","19886",Cranbourne Railway Station (Cranbourne),-38.099537,145.280599,"2",Cranbourne
"138","19887",Merinda Park Railway Station (Cranbourne North),-38.079,145.263511,"2",Cranbourne
"139","19888",Dandenong Railway Station (Dandenong),-37.989968,145.209725,"2","Pakenham,Cranbourne"
"140","19889",Yarraman Railway Station (Noble Park),-37.978255,145.1916,"2","Pakenham,Cranbourne"
"141","19890",Noble Park Railway Station (Noble Park),-37.966628,145.176325,"2","Pakenham,Cranbourne"
"142","19891",Sandown Park Railway Station (Springvale),-37.956505,145.162826,"2","Pakenham,Cranbourne"
"143","19892",East Camberwell Railway Station (Camberwell),-37.825894,145.06819,"1","Lilydale,Belgrave"
"144","19893",Canterbury Railway Station (Canterbury),-37.824485,145.081224,"1,2","Lilydale,Belgrave"
"145","19894",Chatham Railway Station (Surrey Hills),-37.8243,145.088648,"1,2","Lilydale,Belgrave"
"146","19895",Surrey Hills Railway Station (Surrey Hills),-37.824148,145.098775,"1,2","Lilydale,Belgrave"
"147","19896",Mont Albert Railway Station (Mont Albert),-37.819427,145.10553,"1,2","Lilydale,Belgrave"
"148","19897",Laburnum Railway Station (Blackburn),-37.82078,145.140703,"2","Lilydale,Belgrave"
